"last_name","first_name","name","team","player_id","year","PC1","PC2","PC3"
"Williams"," Trevor","Trevor Williams","NYM",592866,2021,5.02545735657818,2.87136346779694,-1.34813628841178
"Yelich"," Christian","Christian Yelich","MIL",592885,2021,-1.64428445520604,-0.734744782674184,0.788164129140966
"Merrifield"," Whit","Whit Merrifield","KC",593160,2021,-1.57706880650482,-3.0743025176878,0.274272398497205
"Martinez"," Carlos","Carlos Martinez","STL",593372,2021,4.59287623924926,-0.800037252349026,-0.591532755899461
"Bogaerts"," Xander","Xander Bogaerts","BOS",593428,2021,-2.66163226629913,0.339493064481447,0.455520425953206
"Bonifacio"," Jorge","Jorge Bonifacio","PHI",593528,2021,2.18090003800468,0.0198555504246922,-0.00872970837965182
"Rivas"," Webster","Webster Rivas","SD",593590,2021,0.622154533140557,1.71344120762231,2.09309705924935
"Alberto"," Hanser","Hanser Alberto","KC",593643,2021,0.223610448194863,-0.937375024617954,-0.501580060962775
"Polanco"," Jorge","Jorge Polanco","MIN",593871,2021,-2.64113329005506,-0.564723633412189,-0.978709778846303
"Sano"," Miguel","Miguel Sano","MIN",593934,2021,-2.24720526195724,1.7942853035682,-1.08274147927014
"Difo"," Wilmer","Wilmer Difo","PIT",594694,2021,-0.993224859647049,-0.421419066898326,0.881416527046673
"Calhoun"," Kole","Kole Calhoun","ARI",594777,2021,-0.325344656320625,1.12802967058281,0.0141738545581384
"deGrom"," Jacob","Jacob deGrom","NYM",594798,2021,-1.40432020768731,-0.358829700409369,0.725217870032774
"Duvall"," Adam","Adam Duvall","MIA",594807,2021,-2.89762363225942,0.557999853411133,-2.00511732109858
"Eaton"," Adam","Adam Eaton","CWS",594809,2021,0.0309933508689695,-0.766617531448656,0.239370134938052
"Gosselin"," Phil","Phil Gosselin","LAA",594838,2021,-1.01950094063585,-1.08734195545057,0.491115168563027
"Schebler"," Scott","Scott Schebler","LAA",594988,2021,1.64545086494544,-0.496269157084204,0.305022606661806
