"last_name","first_name","name","team","player_id","year","PC1","PC2","PC3","PC4","PC5"
"Culberson"," Charlie","Charlie Culberson","TEX",518586,2021,-0.0743726741721853,0.537046420655182,1.45369909206217,-0.395423380589238,1.08353395606457
"d'Arnaud"," Travis","Travis d'Arnaud","ATL",518595,2021,-1.08039859582063,0.481979574074083,-1.15519611823229,-0.54220545228492,0.477456273718304
"Donaldson"," Josh","Josh Donaldson","MIN",518626,2021,-2.74191946254444,-0.77783544233919,-1.96468059193512,-1.32098115963316,-1.59366818347876
"Freeman"," Freddie","Freddie Freeman","ATL",518692,2021,-4.28705421337829,0.834507157463598,-0.931502835640607,-1.66446908686636,-0.0681146818433951
"Grandal"," Yasmani","Yasmani Grandal","CWS",518735,2021,-3.17284727471151,-0.958466840784495,-2.13491235012659,-0.49261524570183,0.00767838869713776
"Heyward"," Jason","Jason Heyward","CHC",518792,2021,-0.652402631548758,0.671064514375476,0.281996910149351,0.194645220077083,-0.624718157755062
"Kelly"," Merrill","Merrill Kelly","ARI",518876,2021,6.76698925390985,-0.655602858637913,-0.796700491355038,-0.407379056607191,-1.25563620553262
"Kozma"," Pete","Pete Kozma","OAK",518902,2021,1.49562051582601,0.629067453614,-0.4269676300335,3.63699847078975,0.44002527101782
"LeMahieu"," DJ","DJ LeMahieu","NYY",518934,2021,-3.13185186396989,2.62820075684108,-1.23509010574366,-1.12463627265236,-0.604706592668179
"Lucroy"," Jonathan","Jonathan Lucroy","WSH",518960,2021,-1.23490591127619,-0.3815254610774,-1.00338593318318,2.19861599303157,2.3871285129027
"Moore"," Matt","Matt Moore","PHI",519043,2021,7.20076373191601,1.42607198318428,-0.170448644025017,-1.43032341309983,-0.481695969696415
"Moreland"," Mitch","Mitch Moreland","OAK",519048,2021,-0.966539745520924,-1.00430059902098,-1.51826921717966,-0.641841010100855,-0.369519279014663
"Moustakas"," Mike","Mike Moustakas","CIN",519058,2021,-0.911422346609561,-0.934136374117887,-1.09293497713382,2.32880660242985,-1.18316756140065
"Rizzo"," Anthony","Anthony Rizzo","CHC",519203,2021,-2.9329835191288,0.678444909828518,-0.77388908931364,0.241496701137563,-1.19236230079644
"Romine"," Austin","Austin Romine","CHC",519222,2021,1.74964896702242,0.16076544976772,-0.851237751730216,0.447984535966762,-0.0944507031876185
"Sogard"," Eric","Eric Sogard","CHC",519299,2021,-0.294129005503416,2.71015545196436,0.155967483529207,1.67016837975575,-0.552708269557854
"Souza Jr."," Steven","Steven Souza Jr.","LAD",519306,2021,0.722272087006832,-1.39786392901013,0.0645002458452531,2.32920112093713,-0.311231158963155
"Stanton"," Giancarlo","Giancarlo Stanton","NYY",519317,2021,-2.94830620594098,-1.4279633726782,-1.92812014638357,-2.05879647705349,-1.16626726278317
"Vogt"," Stephen","Stephen Vogt","ARI",519390,2021,-0.922542341903609,-0.576303966938422,-0.979757164506734,1.42539970253687,0.661291677865305
"Galvis"," Freddy","Freddy Galvis","BAL",520471,2021,-1.47650417422409,0.745060402965074,-0.961964827634249,1.24474542923511,-0.375798137296688
"Perez"," Salvador","Salvador Perez","KC",521692,2021,-3.31401610419975,-1.249545514719,-1.43467877273621,-1.98037377957727,-1.09307402871096
"Flores"," Wilmer","Wilmer Flores","SF",527038,2021,-2.56014065425674,1.29762771800539,-1.63592818817111,0.973073431072668,-0.633985944268966
"LaMarre"," Ryan","Ryan LaMarre","NYY",534606,2021,1.0323987355912,-1.35907625755063,3.23877545217565,0.245488369782974,-1.18067278792804
"Tovar"," Wilfredo","Wilfredo Tovar","NYM",541600,2021,2.68205751735042,-0.250106551386228,-0.0157666182600897,2.0422036486807,0.789897798898309
"Garcia"," Avisail","Avisail Garcia","MIL",541645,2021,-2.51668137979776,-0.657462325214291,0.358171219079796,-2.19294809705663,-0.623099694673053
"Perez"," Hernan","Hernan Perez","WSH",541650,2021,3.74206338196119,-1.50886999747856,-0.530735265305703,-1.29194771271994,-0.0846229019848277
"Inciarte"," Ender","Ender Inciarte","ATL",542255,2021,0.714907895778897,1.63653190406927,0.209206581502226,1.62011951461931,0.57704572200166
"Ozuna"," Marcell","Marcell Ozuna","ATL",542303,2021,-0.936761713956777,-1.0480123642668,-0.840090847582246,0.865940874701887,0.836228730352902
"Villar"," Jonathan","Jonathan Villar","NYM",542340,2021,-0.738423014817889,0.597136456991495,1.29006130209036,-1.39097604752177,0.0334260289279669
"Ortega"," Rafael","Rafael Ortega","CHC",542364,2021,-1.77933988951617,0.759137299476036,1.77567526135807,0.805525018729569,1.13433085601326
"Santana"," Danny","Danny Santana","BOS",542454,2021,0.449047042376864,-1.90306562961121,2.85281100786428,0.777540809657986,-0.647156155025029
"Aguilar"," Jesus","Jesus Aguilar","MIA",542583,2021,-2.58326461379377,-0.219625560612818,-1.78187897506505,0.296918012398933,-0.643136056545358
"Anderson"," Tyler","Tyler Anderson","SEA",542881,2021,5.5642223773897,-2.47832088712311,-0.183254983770073,-2.98063398938634,-0.0379580141311256
"Berti"," Jon","Jon Berti","MIA",542932,2021,-0.848478287130951,1.8722473790336,1.98967287492436,-0.881177573888104,0.179071882529148
"Brantly"," Rob","Rob Brantly","NYY",542963,2021,1.98573243774312,0.0581870159663711,0.131367170730606,5.04932607543127,-1.34351908497018
"Burns"," Andy","Andy Burns","LAD",542992,2021,-2.55445132095608,3.01817899382601,-0.168549821511484,2.66525989357267,2.87765993933431
"Crawford"," Brandon","Brandon Crawford","SF",543063,2021,-3.07107271697705,-0.544313490753758,-0.393796634670616,-1.33021788737419,-0.725166454882816
"Cron"," C.J.","C.J. Cron","COL",543068,2021,-3.09191613531955,-0.309124351563654,-1.31757737299134,-0.441623397422687,-0.841615205375709
"DeSclafani"," Anthony","Anthony DeSclafani","SF",543101,2021,5.7718574245637,-1.01179449233607,-1.10487128061859,0.0844994386876669,-0.315420180994904
