last_name,first_name,name,team,player_id,year,HR.,BB.,AVG,SLG,SacBunt.,HPto1B,SprintSpeed,cluster
Marte, Starling,Starling Marte,OAK,516782,2021,-0.066008018,0.143681149,1.362684624,0.843206329,0.113000596,-1.142001721,0.95031757,9
Bumgarner, Madison,Madison Bumgarner,ARI,518516,2021,-1.143454263,2.328316775,-1.369139,-1.450697773,0.928739329,3.071299321,-2.643355661,4
Culberson, Charlie,Charlie Culberson,TEX,518586,2021,-0.294656344,-0.312451564,0.478471181,0.307962039,1.255034821,-0.944503235,0.779190273,9
d'Arnaud, Travis,Travis d'Arnaud,ATL,518595,2021,0.260920475,-0.048374731,0.174935222,0.35662061,-0.702738134,0.43798617,-0.190531075,2
Donaldson, Josh,Josh Donaldson,MIN,518626,2021,1.242095071,1.440058333,0.531260043,0.961377146,-0.702738134,0.865899557,-1.274337287,1
Freeman, Freddie,Freddie Freeman,ATL,518692,2021,1.022960969,1.103960545,1.230712468,1.156011434,-0.702738134,-0.483673433,0.151723519,1
Grandal, Yasmani,Yasmani Grandal,CWS,518735,2021,2.313191594,3.744728884,0.438879534,1.274182251,-0.294868768,1.688809916,-1.84476161,1
Heyward, Jason,Jason Heyward,CHC,518792,2021,-0.10492504,-0.000360761,0.095751929,0.071620404,-0.702738134,-0.352007776,0.037638654,9
Kelly, Merrill,Merrill Kelly,ARI,518876,2021,-1.143454263,-0.168409655,-1.883830408,-1.749600429,1.74447806,1.919224817,-1.787719177,7
Kozma, Pete,Pete Kozma,OAK,518902,2021,-1.143454263,0.167688134,-1.527505587,-1.707893082,-0.702738134,0.010072783,-0.002291049,8
LeMahieu, DJ,DJ LeMahieu,NYY,518934,2021,-0.441098857,0.767862756,0.80840157,0.175888772,-0.702738134,0.207571269,-0.133488643,9
Lucroy, Jonathan,Jonathan Lucroy,WSH,518960,2021,-1.143454263,1.296016424,1.441867918,0.217596119,1.74447806,0.898815971,-0.932082694,7
Moore, Matt,Matt Moore,PHI,519043,2021,-1.143454263,-1.824891613,-2.728452204,-2.340454516,1.74447806,0.010072783,-0.002291049,8
Moreland, Mitch,Mitch Moreland,OAK,519048,2021,0.687577041,-0.120395685,0.267315731,0.544303673,-0.702738134,0.405069755,-1.331379719,2
Moustakas, Mike,Mike Moustakas,CIN,519058,2021,0.231320059,0.263716073,0.016568635,0.245401018,-0.702738134,0.66840107,-0.875040262,9
Rizzo, Anthony,Anthony Rizzo,CHC,519203,2021,0.716371509,0.335737028,0.544457258,0.718084287,-0.702738134,0.306320512,-0.875040262,2
Romine, Austin,Austin Romine,CHC,519222,2021,-0.44461063,-1.056668096,0.135343576,-0.25508715,-0.702738134,0.66840107,-1.046167558,9
Sogard, Eric,Eric Sogard,CHC,519299,2021,-0.895344092,-0.624542368,0.557654474,-0.157770006,-0.702738134,-0.286174947,-0.646870533,9
Souza Jr., Steven,Steven Souza Jr.,LAD,519306,2021,0.127170486,-0.480500459,-0.722475437,-0.02569674,-0.702738134,-0.319091361,0.265808383,9
Stanton, Giancarlo,Giancarlo Stanton,NYY,519317,2021,1.734137109,0.791869741,0.874387648,1.246377353,-0.702738134,1.293812944,-1.160252423,1
Vogt, Stephen,Stephen Vogt,ARI,519390,2021,0.254232961,0.791869741,-0.154995167,-0.02569674,0.520869963,-0.220342118,-0.304615939,2
Galvis, Freddy,Freddy Galvis,BAL,520471,2021,0.505502603,-0.168409655,0.465273965,0.488693877,0.276148343,-0.088676461,-0.532785668,9
Perez, Salvador,Salvador Perez,KC,521692,2021,2.10278707,-0.816598247,0.874387648,1.441011641,-0.702738134,0.536735413,-0.361658372,3
