last_name, first_name,name,team,player_id,year,Age,AB,PA,HR%,K%,BB%,AVG,SLG,OBP,RBI/PA,CSSB%,SB%,DPTP%,HBP%,IBB%,SacBunt%,SacFly%,R/PA,Sac%,Walkoff,AvgEV(MPH),AvgLA(°),SweetSpot%,Barrel%,SolidContact%,Flare/Burner%,Under%,Topped%,Poor/Weak%,HardHit%,ZoneSwing%,OutofZoneSwing%,OutofZoneContact%,InZoneContact%,Whiff%,Swing%,Pull%,StraightAway%,Oppo%,GB%,FB%,LD%,Popup%,HPto1B,SprintSpeed
Zavala, Seby,Seby Zavala,CWS,664874,2021,28,93,104,0.053763441,39.4,5.8,0.183,0.376,0.231,0.144230769,0,0,0.010752688,0.009615385,0,1,0,0.144230769,0.038461538,0,88,16.2,30.4,8.9,7.1,14.3,25,30.4,10.7,34.5,75.8,28.1,23.2,68.8,42.5,52.1,35.7,26.8,37.5,39.3,33.9,23.2,3.6,4.73,25.7
Mendick, Danny,Danny Mendick,CWS,664901,2021,28,164,186,0.012195122,22.6,9.7,0.22,0.287,0.301,0.107526882,0.017861608,0,0.006097561,0.010752688,0,0.5,0.5,0.075268817,0.010752688,0,84.1,13.7,29,1.6,3.2,24.2,31.5,28.2,9.7,28.5,60.4,25.8,62.6,79.3,24.5,42.9,26.6,36.3,37.1,43.5,21,24.2,11.3,4.56,26.6
Brown, Seth,Seth Brown,OAK,664913,2021,29,281,307,0.071174377,29,7.5,0.214,0.48,0.274,0.156351792,0.05944031,0.047552248,0.003558719,0.003257329,0.266666667,0,1,0.140065147,0.006514658,1,88.9,20.9,33.5,13.9,8.2,18.6,32,26.3,1,40.2,66.3,26.3,42.1,79,32.4,44.9,43.3,34,22.7,31.4,32.5,22.7,13.4,4.44,28.1
McCarthy, Jake,Jake McCarthy,ARI,664983,2021,24,59,70,0.033898305,32.9,11.4,0.22,0.373,0.329,0.057142857,0.21710812,0.130264872,0,0.028571429,0,1,0,0.157142857,0.014285714,0,80,2.3,18.9,2.7,5.4,8.1,29.7,37.8,13.5,13.5,68.7,23,38.2,66.3,41.3,44.7,40.5,27,32.4,59.5,35.1,5.4,0,4.04,30.1
Walsh, Jared,Jared Walsh,LAA,665120,2021,28,530,585,0.054716981,26,8.2,0.277,0.509,0.34,0.167521368,0.015082956,0.010055304,0.013207547,0.006837607,0.731707317,0,1,0.11965812,0.005128205,2,89.6,7.8,33.6,11.3,5,26,17.1,35.7,3.9,41.3,68.5,31.6,61,79.8,26,49.3,37.3,41.7,21,49.6,19.7,24.9,5.8,4.43,27
Maton, Nick,Nick Maton,PHI,665155,2021,24,117,131,0.017094017,29.8,7.6,0.256,0.385,0.321,0.106870229,0.047561295,0.047561295,0,0.015267176,0,0.5,0.5,0.122137405,0.015267176,0,87.8,17.3,37.5,6.3,3.8,30,33.8,22.5,3.8,35,68.4,30.4,48.6,76.1,31.2,50.8,40,35,25,33.8,31.3,30,5,4.42,27.2
Celestino, Gilberto,Gilberto Celestino,MIN,665482,2021,22,59,62,0.033898305,22.6,4.8,0.136,0.288,0.177,0.048387097,0,0,0.033898305,0,0,0,0,0.112903226,0,0,87.2,5.4,35.6,6.7,4.4,8.9,33.3,44.4,2.2,31.1,64.5,26.3,63.3,82.1,23.1,46,31.1,33.3,35.6,46.7,17.8,24.4,11.1,4.44,28.3
Tatis Jr., Fernando,Fernando Tatis Jr.,SD,665487,2021,22,478,546,0.087866109,28,11.4,0.282,0.611,0.364,0.177655678,0.145916355,0.125789961,0.010460251,0.003663004,0.526315789,0,1,0.181318681,0.007326007,0,93.9,13.8,33.1,21.3,7.3,18.8,20.4,29.5,2.7,55.6,80.1,29.1,42.1,75.5,34.8,51.5,42.2,36.2,21.6,41,29.8,21.6,7.6,4.26,29.3
Guerrero Jr., Vladimir,Vladimir Guerrero Jr.,TOR,665489,2021,22,604,698,0.079470199,15.8,12.3,0.311,0.601,0.401,0.159025788,0.01786365,0.01429092,0.034768212,0.008595989,0.569105691,0,1,0.176217765,0.00286533,0,95.2,9.3,33.5,15.1,8.9,21,19.2,33.3,1.2,55.5,73.6,24.4,47.7,81.7,27.8,47.3,37.9,35.9,26.2,45.6,25.2,24.4,4.8,4.62,26.8
Pache, Cristian,Cristian Pache,ATL,665506,2021,23,63,68,0.015873016,36.8,2.9,0.111,0.206,0.147,0.058823529,0,0,0.015873016,0.014705882,0,1,0,0.088235294,0.029411765,0,81.7,8,20,5,7.5,7.5,20,40,20,27.5,78.3,35.8,29.5,76.6,37,56.8,55,27.5,17.5,55,17.5,12.5,15,4.36,28.9
Marchan, Rafael,Rafael Marchan,PHI,665561,2021,22,52,56,0.019230769,17.9,7.1,0.231,0.346,0.286,0.071428571,0,0,0.019230769,0,0,0,0,0.125,0,0,83.8,17.5,26.2,0,2.4,35.7,31,26.2,4.8,19,63,29.7,83.3,84.5,15.9,45.6,26.2,52.4,21.4,40.5,16.7,28.6,14.3,4.37,27.8
Soto, Juan,Juan Soto,WSH,665742,2021,23,502,654,0.057768924,14.2,22.2,0.313,0.534,0.465,0.145259939,0.052612542,0.029594555,0.045816733,0.003058104,1.036036036,0,1,0.169724771,0.00764526,1,93,5.8,29.7,13.3,5.3,23.4,17.1,37.4,3.1,52.7,60,12.2,56.4,85.3,20,35,29,44.4,26.6,52.9,20.8,22.5,3.9,4.33,27
Taveras, Leody,Leody Taveras,TEX,665750,2021,23,174,185,0.017241379,32.4,4.9,0.161,0.27,0.205,0.048648649,0.290046144,0.263678312,0.017241379,0.005405405,0,1,0,0.075675676,0.005405405,0,87.2,7,28.7,6.1,4.3,21.7,17.4,41.7,8.7,35.7,70.1,26.2,56.7,76.6,26.3,48.8,33,42.6,24.3,54.8,17.4,20.9,7,4.16,29.7
Rivero, Sebastian,Sebastian Rivero,KC,665861,2021,23,40,44,0,34.1,6.8,0.175,0.225,0.25,0.068181818,0,0,0.025,0.022727273,0,0,0,0.022727273,0,0,86.6,13,28,0,8,24,32,36,0,24,74.4,32.9,63,72.1,30.7,53.7,40,32,28,44,32,16,8,4.9,24.8
Chisholm Jr., Jazz,Jazz Chisholm Jr.,MIA,665862,2021,23,464,507,0.038793103,28.6,6.7,0.248,0.425,0.302,0.104536489,0.202463524,0.150214873,0.006465517,0.007889546,0,0.4,0.6,0.138067061,0.009861933,0,90.2,9,29,9,6.5,22.8,20.4,37.7,3.7,42,64.9,30.8,55.2,76.8,29.7,47.2,37,35.8,27.2,49.4,24.4,21.9,4.3,4.12,29.1
Gimenez, Andres,Andres Gimenez,CLE,665926,2021,23,188,210,0.026595745,25.7,5.2,0.218,0.351,0.281,0.076190476,0.186409083,0.186409083,0.005319149,0.033333333,0,0.25,0.75,0.10952381,0.019047619,0,86.3,9,23.2,3.6,8.7,19.6,24.6,34.8,8,30.4,77.1,40,56.5,74.3,29.9,58,41.3,30.4,28.3,51.4,29,14.5,5.1,4.21,29
Anderson, Ian,Ian Anderson,ATL,666120,2021,23,37,41,0,70.7,2.4,0.054,0.081,0.073,0,0,0,0,0,0,1,0,0,0.073170732,0,82.6,-8.9,27.3,0,0,0,9.1,45.5,45.5,18.2,51.2,46.9,16.7,50,54.2,49.3,0,63.6,36.4,81.8,0,18.2,0,5.33,22.8
Garrett, Braxton,Braxton Garrett,MIA,666129,2021,24,11,11,0,36.4,0,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0.090909091,0,0,84,-5.1,28.6,0,0,28.6,14.3,57.1,0,14.3,47.8,56.3,66.7,63.6,20,51.3,28.6,42.9,28.6,57.1,14.3,28.6,0,4.57,26.73
Kirilloff, Alex,Alex Kirilloff,MIN,666135,2021,24,215,231,0.037209302,22.5,6.1,0.251,0.423,0.299,0.147186147,0.028956551,0.014478275,0.013953488,0.004329004,0.327868852,0,1,0.0995671,0.004329004,0,91,7,39,12.8,5.5,31.1,13.4,36,1.2,43.9,74.3,34.8,58.3,79.9,26.9,54.7,32.3,42.7,25,48.8,24.4,25.6,1.2,4.34,27.4
