last_name, first_name,name,team,player_id,year,player_age,b_ab,b_total_pa,b_home_run,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,b_rbi,r_total_caught_stealing,r_total_stolen_base,b_gnd_into_dp,b_gnd_into_tp,b_hit_by_pitch,b_intent_walk,b_sac_bunt,b_sac_fly,r_run,b_total_sacrifices,b_walkoff,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,oz_contact_percent,iz_contact_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,hp_to_1b,sprint_speed
Herrera, Odubel,Odubel Herrera,PHI,546318,2021,30,450,492,13,29,15.7,5.9,0.26,0.416,0.309,51,1,6,6,0,6,0,1,5,59,6,0,88.9,7.3,32.5,4.7,6.1,24.5,19.8,38,6.6,40.1,69.5,32.6,68,84.5,19.9,50.3,31.1,41.4,27.4,50.1,17.7,25.9,6.3,4.27,27.3
Alford, Anthony,Anthony Alford,PIT,546990,2021,27,133,148,5,12,39.2,8.1,0.233,0.406,0.311,11,6,5,4,0,3,1,0,0,14,0,0,89,11.8,36,10.7,9.3,24,25.3,28,2.7,42.7,68.9,28.9,38.4,71.5,37.9,47.9,41.3,36,22.7,37.3,37.3,24,1.3,4.16,29.6
Almora Jr., Albert,Albert Almora Jr.,NYM,546991,2021,27,52,54,0,2,31.5,3.7,0.115,0.173,0.148,0,0,0,1,0,0,0,0,0,3,0,0,90.3,7.7,22.9,0,8.6,17.1,25.7,48.6,0,45.7,65.7,48.6,43.4,83.6,33.3,56.9,40,37.1,22.9,57.1,14.3,17.1,11.4,,28
Poteet, Cody,Cody Poteet,MIA,547001,2021,27,10,11,0,0,27.3,0,0.1,0.1,0.091,1,0,0,0,0,0,0,1,0,1,1,0,75.4,-37.8,12.5,0,0,12.5,0,50,37.5,37.5,85.7,26.7,50,66.7,36.4,61.1,50,37.5,12.5,87.5,0,12.5,0,,22.9
Ruiz, Rio,Rio Ruiz,BAL,547004,2021,27,125,141,3,12,27,8.5,0.168,0.272,0.241,10,0,2,3,0,1,0,1,2,11,3,0,86.8,9.9,25.6,4.4,4.4,22.2,25.6,38.9,4.4,26.7,81,30.9,57.3,77,29,54.3,36.7,36.7,26.7,52.2,26.7,15.6,5.6,4.76,25.7
Wolters, Tony,Tony Wolters,CHC,547172,2021,29,24,30,0,5,40,16.7,0.125,0.125,0.267,0,1,0,1,0,0,0,1,0,3,1,0,82.5,6.2,23.1,0,0,15.4,30.8,38.5,15.4,15.4,42.4,27.3,55.6,72,34.9,34.4,30.8,23.1,46.2,53.8,23.1,23.1,0,,25.3
Harper, Bryce,Bryce Harper,PHI,547180,2021,29,488,599,35,100,22.4,16.7,0.309,0.615,0.427,84,3,13,12,0,5,14,2,4,101,6,0,92.5,13.3,38.9,18.1,8.3,23.9,18.9,25.8,5,49.7,75.4,24.7,49.4,74.8,31.9,47.5,36.1,35.6,28.3,41.9,26.4,27.2,4.4,4.38,27.8
Perez, Roberto,Roberto Perez,CLE,547379,2021,33,141,161,7,17,34.8,10.6,0.149,0.319,0.242,17,0,1,1,0,1,0,2,0,13,2,0,91,6.9,26.4,12.6,3.4,26.4,18.4,31,8,41.4,63.7,18.7,32.8,73.3,34.9,41.6,34.5,41.4,24.1,52.9,26.4,17.2,3.4,4.76,24.7
Kim, Kwang Hyun,Kwang Hyun Kim,STL,547942,2021,33,26,29,0,0,31,0,0.115,0.154,0.138,2,0,0,0,0,1,0,2,0,0,2,0,77.4,-11.4,21.1,0,5.3,0,15.8,52.6,26.3,10.5,60.6,32.4,66.7,67.5,15.4,50.5,15.8,42.1,42.1,78.9,10.5,10.5,0,,27.6
Abreu, Jose,Jose Abreu,CWS,547989,2021,34,566,659,30,61,21.7,9.3,0.261,0.481,0.351,117,0,1,28,0,22,3,0,10,86,10,0,92,10.4,31.2,10.2,9.2,21.7,21,35.3,2.1,49.3,66.7,32.1,53.7,82.6,27.7,48.4,35.1,41.3,23.6,47.3,25.6,21.7,5.3,4.62,26.5
Diaz, Elias,Elias Diaz,COL,553869,2021,31,338,371,18,30,16.2,8.1,0.246,0.464,0.31,44,0,0,15,0,2,1,0,1,52,1,3,87.3,15.1,30.1,7.9,5.7,21.5,28.3,29,5,38.2,75.1,27.6,51.7,85.1,24.1,51.3,37.6,35.5,26.9,40.9,25.4,24,9.7,4.75,25.8
Narvaez, Omar,Omar Narvaez,MIL,553882,2021,29,391,445,11,41,18.9,9.2,0.266,0.402,0.342,49,0,0,13,0,7,3,0,6,54,6,0,84.6,17.9,40.3,5.1,5.8,25.9,32.3,25.9,5.1,25.6,74.6,31.1,55.6,85.7,23.6,52.2,37.1,36.4,26.5,34.2,31,27.5,7.3,4.78,25.2
Astudillo, Willians,Willians Astudillo,MIN,553902,2021,30,208,216,7,3,5.6,1.4,0.236,0.375,0.259,21,0,0,12,0,4,0,0,1,17,1,0,85.9,16.8,33.5,4.1,4.6,21.8,32.5,30.5,6.1,33,83.7,43.1,86.4,92.1,9.9,62.2,35.5,38.6,25.9,41.1,22.3,23.4,13.2,4.97,24.2
Suarez, Eugenio,Eugenio Suarez,CIN,553993,2021,30,505,574,31,56,29.8,9.8,0.198,0.428,0.286,79,1,0,14,0,8,0,0,5,71,5,0,89.1,18.3,33,15,3.8,16.5,31.6,28.6,4.4,39.8,64.3,23.2,43.6,81.1,29.5,42.7,46.3,32.4,21.2,36.3,35.7,20.4,7.7,4.63,26.7
Wheeler, Zack,Zack Wheeler,PHI,554430,2021,31,68,73,0,0,53.4,0,0.162,0.191,0.151,3,0,0,1,0,0,0,5,0,1,5,0,83.7,-2.6,26.5,0,0,29.4,11.8,29.4,29.4,14.7,54.7,43.9,48.1,63.4,34.6,49.8,17.6,38.2,44.1,67.6,8.8,23.5,0,,23.2
Polanco, Gregory,Gregory Polanco,PIT,570256,2021,30,336,382,11,36,27.2,9.4,0.208,0.354,0.283,36,1,14,8,0,2,2,0,8,38,8,1,89.9,15.9,32.5,9.6,8.8,22.9,27.9,24.6,5.4,48.3,69.6,29.4,47.1,80.1,30.6,48.1,43.8,36.3,20,40,22.9,25,12.1,4.37,27.2
Gonzalez, Erik,Erik Gonzalez,PIT,570481,2021,30,220,229,2,8,17.5,3.5,0.232,0.3,0.258,21,2,2,4,0,0,0,0,1,17,1,0,87,0.1,27.1,3.3,2.8,24.3,13.8,51.4,3.3,31.5,78.4,37.5,54.1,84.9,25.6,57.1,27.6,43.6,28.7,62.4,12.7,22.1,2.8,4.43,27.5
Urshela, Gio,Gio Urshela,NYY,570482,2021,30,420,442,14,20,24.7,4.5,0.267,0.419,0.301,49,0,1,16,0,1,0,0,1,42,1,0,88.9,7.5,36.2,8,6.7,25.6,18.6,38.5,2.6,42,72.3,36.1,61.6,81.5,25,54,31.1,40.4,28.5,48.4,23.7,25.6,2.2,4.56,25.7
Schoop, Jonathan,Jonathan Schoop,DET,570731,2021,30,623,674,22,37,19.7,5.5,0.278,0.435,0.32,84,0,2,15,0,6,0,0,8,85,8,0,88.1,10.8,30.1,6.8,4.4,24.7,23.1,35.7,5,40.2,71,35.2,58.4,84.3,24.7,52.5,35.9,39,25.1,48.4,20.3,21.7,9.6,4.59,27
Adams, Matt,Matt Adams,COL,571431,2021,33,36,40,0,4,22.5,10,0.167,0.194,0.25,2,0,0,1,0,0,1,0,0,3,0,0,82.2,10.5,29.6,3.7,7.4,11.1,29.6,29.6,18.5,29.6,77.2,40.7,63.6,88.6,22.1,55.8,29.6,44.4,25.9,51.9,29.6,11.1,7.4,4.71,25.3
Arenado, Nolan,Nolan Arenado,STL,571448,2021,30,593,653,34,50,14.7,7.7,0.255,0.494,0.312,105,0,2,20,0,3,8,0,7,81,7,0,89,20,34.1,6.7,6.9,23,36.7,23.8,2.8,37.5,67.3,29,65.3,89.6,18.5,46.8,45.8,33.3,20.8,31.3,32.7,24.8,11.1,4.77,25.4
Barnhart, Tucker,Tucker Barnhart,CIN,571466,2021,30,348,388,7,29,25.8,7.5,0.247,0.368,0.317,48,0,0,8,0,8,1,0,3,41,3,0,87.1,15.5,37.1,4,6,29.1,28.3,27.5,4.8,31.1,73.5,28.8,58,80.1,26.2,50.4,41.4,33.1,25.5,42.6,28.7,23.1,5.6,4.84,24.3
Corbin, Patrick,Patrick Corbin,WSH,571578,2021,32,53,63,0,3,38.1,4.8,0.132,0.132,0.159,0,0,0,0,0,0,0,7,0,1,7,0,85.4,1.1,8.3,0,0,13.9,5.6,55.6,25,19.4,67.2,31.5,32.1,70.5,30.2,52.7,11.1,50,38.9,80.6,8.3,11.1,0,,22.8
Farmer, Kyle,Kyle Farmer,CIN,571657,2021,31,483,529,16,22,18.3,4.2,0.263,0.416,0.316,63,3,2,16,0,18,1,1,5,60,6,0,87.2,15.8,36,4.3,5.9,26.3,29.3,29.1,4.8,31.9,65.2,35.6,64.8,88.5,20,49.9,35.5,39.5,25,40.8,25.5,25.3,8.4,4.51,27
Goodwin, Brian,Brian Goodwin,CWS,571718,2021,31,235,271,8,33,21.4,12.2,0.221,0.374,0.317,29,0,1,2,0,1,0,1,1,33,2,1,88.5,16.9,35.8,6.1,3.4,30.2,32.4,25.7,2.2,31.8,64.7,21,51.9,79.8,27.3,42,48.6,29.6,21.8,37.4,29.1,26.3,7.3,4.34,27.3
Hamilton, Billy,Billy Hamilton,CWS,571740,2021,31,127,135,2,4,34.8,3,0.22,0.378,0.237,11,0,9,1,0,0,0,3,1,23,4,0,83.9,18.6,38.1,1.2,2.4,29.8,29.8,25,10.7,20.2,70.7,39.2,49,75.8,30.7,55.8,41.7,32.1,26.2,39.3,23.8,25,11.9,,29.5
Haniger, Mitch,Mitch Haniger,SEA,571745,2021,31,620,691,39,54,24.5,7.8,0.253,0.485,0.318,100,0,1,12,0,9,2,0,8,110,8,1,89.3,14.8,33.6,12.6,6.5,23.5,23.5,29.2,4.6,45.1,65,29.2,49.8,79.9,29.8,46.6,44.7,35.5,19.8,43.1,29.2,19.6,8.1,4.54,27.2
Hernandez, Enrique,Enrique Hernandez,BOS,571771,2021,30,508,585,20,61,18.8,10.4,0.25,0.449,0.337,60,0,1,4,0,9,0,0,7,84,7,0,90.7,17.8,36.3,8.4,9.1,23.2,32.1,24.9,1.2,43.1,66.6,24.8,54.3,85.6,23.5,44.6,42.5,31.9,25.7,33.6,32.6,24.9,8.9,4.46,27.4
Holt, Brock,Brock Holt,TEX,571788,2021,33,235,260,2,23,18.8,8.8,0.209,0.298,0.281,23,1,5,5,0,1,0,0,1,21,1,1,86.1,9.5,30.5,1.6,4.8,26.2,24.6,35.8,4.8,25.1,61.8,23.8,65.6,85.4,19.5,42.6,41.2,33.2,25.7,48.7,22.5,22.5,6.4,4.48,26.1
Lamb, Jake,Jake Lamb,CWS,571875,2021,31,144,170,7,22,30,12.9,0.194,0.368,0.306,19,0,0,4,0,2,0,0,2,25,2,0,90.6,18.3,34.7,11.6,5.3,20,30.5,30.5,2.1,44.2,65.2,23.3,50,80.6,26.6,44.7,51.6,29.5,18.9,41.1,25.3,22.1,11.6,4.63,26
Maile, Luke,Luke Maile,MIL,571912,2021,30,30,34,0,3,20.6,8.8,0.3,0.433,0.382,3,0,0,1,0,1,0,0,0,6,0,0,79.6,1.2,47.8,4.3,0,26.1,8.7,34.8,26.1,26.1,59.6,37.7,55.2,82.1,31.6,46,39.1,30.4,30.4,69.6,8.7,21.7,0,,25.9
Marrero, Deven,Deven Marrero,MIA,571918,2021,31,16,19,1,3,31.6,15.8,0.188,0.375,0.316,1,0,1,2,0,0,0,0,0,4,0,0,78.5,25.8,40,0,10,0,50,40,0,10,76.2,22.2,30,84.4,28.6,48.3,10,40,50,40,30,10,20,,
Mikolas, Miles,Miles Mikolas,STL,571945,2021,33,8,15,0,1,33.3,6.7,0,0,0.067,0,0,0,0,0,0,0,6,0,0,6,0,92.2,30.5,11.1,0,0,22.2,11.1,0,66.7,11.1,85.7,34.6,22.2,66.7,40.7,57.4,44.4,22.2,33.3,66.7,0,22.2,11.1,,
Muncy, Max,Max Muncy,LAD,571970,2021,31,497,592,36,83,20.3,14,0.249,0.527,0.368,94,1,2,7,0,11,5,0,1,95,1,1,91.2,15.2,34.7,16.1,7.7,19.6,24.3,27.2,3.4,46.5,60.1,15.7,51.8,83.4,23.4,37.6,38.9,39.4,21.7,38.6,33.1,22.8,5.6,4.44,26.7
Myers, Wil,Wil Myers,SD,571976,2021,31,442,500,17,54,28.2,10.8,0.256,0.434,0.334,63,5,8,9,0,0,2,0,4,56,4,0,88,10.6,31.1,7.5,3.9,22,26.2,34.4,5.6,38.2,65.7,27.7,52.1,74.3,31.6,46.3,37.7,42.3,20,45.2,27.2,21.3,6.2,4.38,28.3
Naquin, Tyler,Tyler Naquin,CIN,571980,2021,30,411,454,19,35,23.3,7.7,0.27,0.477,0.333,70,3,5,9,0,5,1,0,3,52,3,0,89.8,9.6,31.5,10.4,4.2,25.6,20.1,32.5,6.5,41.6,77.6,37.8,62.1,83.9,23.7,56.3,40.9,34.7,24.4,48.4,24,22.1,5.5,4.42,27.7
