"last_name","first_name","name","team","player_id","year","Age","HR.","BB.","AVG","SLG","OBP","RBI.PA","CSSB.","SB.","DPTP.","HBP.","IBB.","SacBunt.","SacFly.","Sac.","Walkoff","SweetSpot.","Barrel.","SolidContact.","Flare.Burner.","Under.","Topped.","Poor.Weak.","HardHit.","HPto1B","SprintSpeed"
"Solano"," Donovan","Donovan Solano","SF",456781,2021,1.483231974,-0.187381557,-0.072381715,0.966768157,0.467840203,0.800232629,-0.034478186,-0.398729492,-0.285790644,0.417609678,0.666005376,0.887077348,-0.213294895,0.715302313,-0.171996169,-0.460692573,0.956302327,0.253294215,0.133780313,0.833374539,-0.050162112,-0.258712568,-0.47524889,0.198051434,0.010072783,-0.361658372
"McCutchen"," Andrew","Andrew McCutchen","PHI",457705,2021,1.757543699,1.205356261,1.560093258,0.201329653,0.745889185,0.699421221,0.932826472,-0.061340267,-0.040410203,0.114083824,-0.26851127,0.198434229,-0.702738134,1.1501875,-0.224872237,1.137539481,0.307686256,0.543907639,0.775841611,0.007803848,0.26367264,-0.287816241,-0.440811076,0.451335819,-0.68117192,1.121444866
"Upton"," Justin","Justin Upton","LAA",457708,2021,1.483231974,1.098119588,0.767862756,0.056160282,0.502596326,0.273773056,0.420013899,0.00584724,0.062795657,0.905180892,-0.562286732,-0.540844416,-0.702738134,1.1501875,-0.313184908,-0.460692573,-0.050170887,1.067011804,0.185145217,-0.218562309,0.410128858,-0.384828485,-0.492467797,0.617553696,0.14173844,0.43693568
"Maybin"," Cameron","Cameron Maybin","NYM",457727,2021,1.483231974,-1.143454263,0.359744013,-2.253352444,-2.090210432,-1.00317144,-1.804190212,1.637606529,2.272179336,-1.071443357,3.477701553,-0.540844416,-0.702738134,-1.024238431,-0.500468685,-0.460692573,-2.051934279,-1.19977291,-1.38148435,-2.05612288,0.096294106,1.050952715,-0.234184192,-0.846746653,-1.273667379,1.349614595
"Turner"," Justin","Justin Turner","LAD",457759,2021,2.306167148,0.980610753,0.575806877,0.940373726,0.933572248,1.001855444,0.987499733,-0.444636799,-0.343457704,0.21506492,0.614251932,-0.540844416,-0.702738134,1.1501875,-0.278910747,-0.460692573,0.587262148,0.330791128,0.827206515,0.673586663,0.682118977,-0.889292149,-0.681875773,0.712535341,0.701317485,-0.703912965
"Posey III"," Buster","Buster Posey III","SF",457763,2021,1.483231974,0.767308026,1.12796753,1.283501331,1.128206536,1.326692201,0.618129853,-0.629532178,-0.57571644,1.098521608,-0.601384156,1.577819988,-0.702738134,1.1501875,-0.400914029,-0.460692573,0.84447197,0.369539584,0.287875024,1.019793727,-0.531375399,-0.035584409,-0.389154355,0.443420682,0.898815971,-1.445464584
"Bruce"," Jay","Jay Bruce","NYY",457803,2021,1.483231974,0.089799194,1.248002454,-1.171180766,-0.706916746,-0.454309332,-0.293567537,-0.629532178,-0.57571644,2.289874858,-0.755223947,-0.540844416,-0.702738134,-1.024238431,-0.500468685,-0.460692573,0.810922862,-1.19977291,1.058348582,1.539104323,-0.531375399,-0.423633382,0.04131832,-1.171267271,2.215472547,-2.015888906
"Happ"," J.A.","J.A. Happ","STL",457918,2021,2.854790597,-1.143454263,-0.216423625,-2.728452204,-2.340454516,-2.291317203,-1.804190212,-0.629532178,-0.57571644,-1.071443357,-0.755223947,-0.540844416,-0.702738134,-1.024238431,-0.500468685,-0.460692573,0.274137149,-1.19977291,-1.38148435,-2.895009228,-0.19661833,3.272533085,0.179069576,-0.917982886,2.577553105,-2.301101067
"Votto"," Joey","Joey Votto","CIN",458015,2021,2.580478872,2.225970334,1.632114213,0.782007139,1.573084907,1.158673189,1.843410874,-0.561407425,-0.490140644,-0.1785932,-0.231071855,1.6307866,-0.702738134,1.1501875,-0.330870881,-0.460692573,1.504271076,2.132594362,0.981301226,0.260801318,0.117216422,-0.928097047,-0.67326632,1.535709591,0.635484656,-0.932082694
"Gardner"," Brett","Brett Gardner","NYY",458731,2021,2.580478872,-0.059975796,1.296016424,0.201329653,0.175888772,0.576207279,-0.142832965,-0.172307173,-0.116237123,-0.628478937,-0.30071244,-0.540844416,0.409632864,0.161812076,0.038767739,1.137539481,-0.184367315,-0.541049147,0.262192573,0.140960411,0.148599898,0.061427834,-0.199746378,-0.047317814,-1.372416622,1.064402434
"Joyce"," Matt","Matt Joyce","PHI",459964,2021,2.306167148,0.381295436,2.35232376,-1.527505587,-0.825087563,-0.118271307,0.188080263,-0.629532178,-0.57571644,1.006462442,0.256997388,0.05822621,-0.702738134,1.1501875,-0.172948261,-0.460692573,-0.654054815,0.737649923,-0.097361754,-1.230552189,0.357823066,0.682306191,-0.346107087,-0.498480624,0.240487683,-0.304615939
