last_name,first_name,name,team,player_id,year,AB,PA,BB.,AVG,SLG,OBP,CSSB.,SB.,HBP.,SacBunt.,SacFly.,SweetSpot.,Barrel.,SolidContact.,Flare.Burner.,Under.,Topped.,Poor.Weak.,HardHit.,OutofZoneContact.,InZoneContact.,Whiff.,StraightAway.,Popup.,SprintSpeed
Astudillo, Willians,Willians Astudillo,MIN,553902,2021,-0.064461251,-0.147700647,-1.488793825,0.386090672,0.266254691,-0.140673842,-0.629532178,-0.57571644,0.538169981,-0.702738134,1.1501875,0.29650322,-0.405429548,-0.200091562,0.007803848,0.880880986,-0.23931012,-0.251403099,-0.063148088,2.452533544,1.468048421,-2.124113803,0.137175758,1.360870926,-1.445464584
Suarez, Eugenio,Eugenio Suarez,CIN,553993,2021,1.525163717,1.555376787,0.527792907,-0.11540352,0.634669593,0.161760381,-0.546588073,-0.57571644,0.218201407,-0.702738134,1.1501875,0.240588041,1.706361339,-0.405551177,-0.697925937,0.786730561,-0.423633382,-0.397763808,0.47508123,-0.529640027,0.330827813,0.171941706,-0.554171782,0.190172988,-0.019403778
Wheeler, Zack,Zack Wheeler,PHI,554430,2021,-0.813779417,-0.827980181,-1.824891613,-0.590503281,-1.012770626,-1.350410732,-0.629532178,-0.57571644,-0.755223947,1.74447806,-1.024238431,-0.48630928,-1.19977291,-1.38148435,1.019793727,-1.284578804,-0.346023587,1.754599565,-1.511618163,-0.21609374,-1.499063529,0.769384721,0.092572691,-1.448804125,-2.015888906
Polanco, Gregory,Gregory Polanco,PIT,570256,2021,0.620629644,0.641994476,0.431764968,0.016568635,0.120278976,0.128156578,1.259785029,1.639354575,-0.389552381,-0.702738134,1.1501875,0.184672863,0.660153009,0.878571418,0.154276067,0.3996677,-0.811682355,-0.311669273,1.147867877,-0.285770693,0.227444122,0.300801964,-0.119291878,1.126731339,0.265808383
Gonzalez, Erik,Erik Gonzalez,PIT,570481,2021,-0.000233979,-0.085857053,-0.984647142,0.333301809,-0.25508715,-0.151875109,0.292334719,0.003291116,-0.755223947,-0.702738134,1.1501875,-0.419211065,-0.560423375,-0.662375696,0.340695255,-1.075355636,1.788245764,-0.492467797,-0.181875143,0.201967975,0.723685841,-0.284926482,0.694714096,-0.852812447,0.43693568
Urshela, Gio,Gio Urshela,NYY,570482,2021,1.070220544,0.927426448,-0.744577293,0.795204354,0.572108572,0.329779393,-0.527185293,-0.447152068,-0.597207529,-0.702738134,1.1501875,0.598445184,0.350165356,0.339239928,0.513798787,-0.573220032,0.536787826,-0.552733971,0.649214244,0.72454512,0.37218129,-0.355213896,0.33788956,-0.98052495,-0.5898281
Schoop, Jonathan,Jonathan Schoop,DET,570731,2021,2.156731886,2.031096741,-0.504507444,0.940373726,0.683328164,0.542603476,-0.503267017,-0.417106815,-0.133473777,-0.702738134,1.1501875,-0.083719994,0.117674616,-0.251456466,0.393957881,-0.102467904,0.265153545,-0.346107087,0.506741778,0.501578872,0.661655626,-0.390357603,0.181778825,0.594595912,0.151723519
Adams, Matt,Matt Adams,COL,571431,2021,-0.985052141,-0.984967766,0.575806877,-0.524517203,-0.991916953,-0.241485249,-0.629532178,-0.57571644,-0.755223947,-0.702738134,-1.024238431,-0.139635173,-0.482926462,0.519017092,-1.416971377,0.577507392,-0.326621139,0.816169134,-0.332262747,0.863899025,1.1062055,-0.694936395,0.78392023,0.126316737,-0.817997829
Arenado, Nolan,Nolan Arenado,STL,571448,2021,1.996163707,1.93119555,0.023646224,0.636837767,1.093450413,0.452993336,-0.495864742,-0.407808351,-0.434351321,-0.702738134,1.1501875,0.363601434,0.098300388,0.390604832,0.167591723,1.320249639,-0.889292149,-0.535515064,0.293033078,0.982349844,1.209589192,-1.116660876,-0.453814881,0.913877168,-0.760955397
Barnhart, Tucker,Tucker Barnhart,CIN,571466,2021,0.684856916,0.670537673,-0.024367746,0.531260043,0.217596119,0.508999674,-0.629532178,-0.57571644,0.684843503,-0.702738134,1.1501875,0.699092505,-0.424803777,0.159462765,0.979846758,0.441512333,-0.530346849,-0.363325994,-0.213535691,0.47370809,0.227444122,-0.214639069,-0.476116414,-0.25682077,-1.388422152
Corbin, Patrick,Patrick Corbin,WSH,571578,2021,-0.894063506,-0.875552177,-0.672556338,-0.986419748,-1.422892875,-1.260800592,-0.629532178,-0.57571644,-0.755223947,1.74447806,-1.024238431,-2.521621778,-1.19977291,-1.38148435,-1.044133001,-1.933170625,2.195697186,1.375783611,-1.139606723,-1.330924981,-0.765039318,0.253943688,1.408363169,-1.448804125,-2.244058635
Farmer, Kyle,Kyle Farmer,CIN,571657,2021,1.407413719,1.341302808,-0.816598247,0.742415492,0.551254898,0.497798406,-0.222254449,-0.371073542,1.621295645,-0.294868768,0.787783177,0.576079113,-0.366681092,0.133780313,0.607008382,0.546123917,-0.37512726,-0.363325994,-0.150214595,0.947511368,1.095867131,-0.940942342,0.237532659,0.339170908,0.151723519
Goodwin, Brian,Brian Goodwin,CWS,571718,2021,0.08005011,0.113945327,1.103960545,0.188132438,0.259303467,0.508999674,-0.471030134,-0.376612036,-0.497499695,0.520869963,0.062974534,0.553713041,-0.017944982,-0.508280985,1.126318978,0.870419828,-0.704968887,-0.587171785,-0.158129732,0.04867868,0.196429014,-0.085778811,-0.866393251,0.10503132,0.322850815
Hamilton, Billy,Billy Hamilton,CWS,571740,2021,-0.497995333,-0.53303381,-1.104682066,0.174935222,0.287108365,-0.387101727,3.200688645,4.235665267,-0.755223947,1.132674011,-0.480631948,0.810922862,-0.96728217,-0.765105504,1.073056352,0.598429709,-0.772877457,0.144631762,-1.076285627,-0.153384483,-0.217105752,0.312516533,-0.587624082,1.084160505,1.577784324
