"last_name","first_name","name","team","player_id","year","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"Arrieta"," Jake","Jake Arrieta","SD",453562,2021,5.12755823469037,-0.0881824979663627,1.77445151828397,1.73261229567345,2.20326437617271,-1.65958151216123,-1.44040671580952,-1.95766348103626,1.06126768107504
"Blackmon"," Charlie","Charlie Blackmon","COL",453568,2021,-2.35364170995659,-0.730006724771845,0.755230623598148,-1.72684687031736,1.01673974874506,-1.84763249267484,-1.99259513987155,1.17155000604035,0.606703797008594
"Frazier"," Todd","Todd Frazier","PIT",453943,2021,2.15616084258448,-1.14957526304216,-2.6336729047901,0.278554722898797,-2.39357802614686,-2.13905334097297,-0.374370716261155,-0.948264244783576,-0.649076989785437
"Maldonado"," Martin","Martin Maldonado","HOU",455117,2021,-0.142086895836038,-2.47439903614635,-1.43106569187073,0.437707855321288,-0.0752353333494783,-1.80324069288433,0.450251645271168,0.794380153166687,-0.416672525557781
"Chirinos"," Robinson","Robinson Chirinos","CHC",455139,2021,-1.01503369217296,-2.18583580738557,-0.102731897490216,1.95057576304581,0.846136065607766,-1.85846052985846,1.21891890823493,-2.08571945484536,-0.475474346845728
"Price"," David","David Price","LAD",456034,2021,3.20734591043994,-0.65759101445378,2.2076047770014,-0.290565258997671,2.22806660762336,-0.333884483933452,-0.715761846870198,-0.138921583165084,-1.06868157671178
"Cueto"," Johnny","Johnny Cueto","SF",456501,2021,6.71714197062739,1.77201527861545,1.97455163894766,-0.511212656967414,-0.942217217528937,-3.18796577424173,1.67388747339737,0.892437647107995,0.0203496707301538
"Cain"," Lorenzo","Lorenzo Cain","MIL",456715,2021,-1.57505558993764,1.84309892016287,0.225285038260012,-1.07797795996236,-0.311162948898802,-1.59206106775984,0.884195359148751,0.426568550963676,-0.733042578391841
"Solano"," Donovan","Donovan Solano","SF",456781,2021,-1.5009901486222,-0.940786026205178,-0.465088204167371,-0.48209387528911,1.22775171059582,-1.04982496052453,-0.116391567177986,-0.542927897442353,-0.45140620734833
"McCutchen"," Andrew","Andrew McCutchen","PHI",457705,2021,-2.8048686561362,-0.525039153105544,0.641053313917999,0.0127438694397174,-0.43548733809771,-1.19296745608526,-0.318885362406789,0.792778034046098,0.902923032413464
"Upton"," Justin","Justin Upton","LAA",457708,2021,-1.80341657513473,-0.869995949362514,-0.048288990852407,0.22382369477451,-0.980679375871178,-0.834582493986217,0.531219776216468,0.210473394086745,-0.331065877291058
"Maybin"," Cameron","Cameron Maybin","NYM",457727,2021,3.18209779795603,4.15122456793431,-1.31424051351043,0.118130006542455,-2.7580685525235,-2.95564540204193,-1.47954147086173,-0.933436137230411,-0.293613467753217
"Turner"," Justin","Justin Turner","LAD",457759,2021,-2.58035008035258,-1.99337478054058,-0.595371216936708,0.583010655940302,0.688427363399791,-1.63571501942766,0.675730384930708,-0.226143631105361,-0.89122243779891
"Posey III"," Buster","Buster Posey III","SF",457763,2021,-2.52710574414273,-2.67618319093277,0.0304066127458723,-1.46346392065114,0.906340958824064,-0.966668436371264,0.840849575929545,-0.0339667834080949,0.174320623976852
"Bruce"," Jay","Jay Bruce","NYY",457803,2021,1.17380455855457,-2.59246269233803,-2.30891500326876,-0.197812741691791,0.837534627935283,-1.62874800186255,2.13454050102025,-0.174036898017778,0.960082383786026
