"","Age","AB","PA","HR.","K.","BB.","AVG","SLG","OBP","RBI.PA","CSSB.","SB.","DPTP.","HBP.","IBB.","SacBunt.","SacFly.","R.PA","Sac.","Walkoff","AvgEV.MPH.","AvgLA.°.","SweetSpot.","Barrel.","SolidContact.","Flare.Burner.","Under.","Topped.","Poor.Weak.","HardHit.","ZoneSwing.","OutofZoneSwing.","OutofZoneContact.","InZoneContact.","Whiff.","Swing.","Pull.","StraightAway.","Oppo.","GB.","FB.","LD.","Popup.","HPto1B","SprintSpeed"
"681",-0.436950097,-0.899415779,-0.894580975,-1.143454263,1.398364516,-0.600535383,-0.696081006,-1.269965935,-0.95836637,-0.472793961,-0.629532178,-0.57571644,-1.071443357,-0.755223947,-0.540844416,1.74447806,-1.024238431,-1.864554465,1.031660712,-0.460692573,-1.499138681,-2.250229858,-0.844166422,-1.19977291,-1.38148435,0.207538692,-2.173777269,1.972569026,0.945310936,-1.353315423,-2.166847348,-0.149669871,0.18106489,-0.692670734,-0.448930447,-1.085039879,-0.817946187,1.040387866,-0.066499182,1.732850964,-2.366774178,0.222894684,-0.746385362,2.511720276,-2.244058635
"682",-0.436950097,0.925709184,0.955969645,0.670338316,-0.219795178,0.311730043,0.12214636,0.474791428,0.385785731,0.782076739,-0.629532178,-0.57571644,0.091760913,1.115577916,-0.540844416,-0.702738134,1.1501875,0.035832136,-0.349136698,-0.460692573,0.428570693,0.520310431,0.117574649,0.989514891,0.082415409,0.314063943,-0.029239795,-0.278115017,-0.380544901,0.696705067,-0.115011733,0.006361953,0.013840203,0.382519659,-0.027205966,-0.101940461,0.582341701,-0.018934977,-0.681947474,-0.562605117,0.484573252,0.236952836,0.360456325,0.405069755,-0.532785668
"683",-0.711261821,-0.583631694,-0.585363005,-0.765700956,-1.301452728,0.503785922,0.597246121,-0.150818782,0.576207279,-0.537216358,1.750250231,0.278396306,0.472946102,-0.755223947,-0.540844416,-0.702738134,1.1501875,0.905435341,-0.318219425,-0.460692573,0.365710605,0.047291357,0.274137149,-0.38605532,-0.04599685,1.40594776,-0.228001805,0.236049872,-0.690485227,0.459250956,1.53152302,-0.077655183,0.968414454,1.157897346,-1.198662858,0.675025209,0.203885515,-0.096990344,-0.146279516,-0.16850573,0.179071741,0.461883263,-0.554816608,-0.648255505,1.349614595
"684",-0.711261821,2.253072793,2.111969133,-0.423896108,-1.232226645,-0.504507444,0.729218277,0.349669386,0.396986998,-0.212680365,1.617012392,1.843163151,-0.714860433,-0.148770081,0.406776391,0.113000596,0.425378857,0.614460723,-0.304240824,-0.460692573,0.093316889,-0.049243148,0.095208577,-0.366681092,0.108097861,0.487167475,-0.050162112,0.313659667,-0.389154355,0.118900064,-0.191005645,-0.125664975,1.316799217,1.323311253,-1.538385357,-0.133653345,0.544496082,-0.308854913,-0.340031756,-0.092451462,0.046687754,0.391592505,-0.405818689,-1.142001721,1.235529731
"685",-0.711261821,1.273606904,1.255673216,-0.13638705,-0.609191896,-0.216423625,0.465273965,0.175888772,0.464194604,0.078914765,0.392064389,0.172870447,0.300972591,1.294969867,-0.540844416,0.520869963,0.062974534,0.179185502,-0.323569196,-0.460692573,-0.053356651,-0.29057941,-0.17318428,0.059551931,-0.302821369,-0.191930997,-0.248924122,0.711409864,-0.242793645,-0.015657266,-0.393656076,0.066374193,0.801189768,0.392858028,-0.378643034,-0.355643536,-0.496258429,0.638960262,-0.055101991,0.439928412,-0.360647593,-0.241024322,-0.25682077,-1.109085307,1.292572163
"686",-0.711261821,1.038106909,1.208101221,1.388587816,-0.669764719,0.959918635,0.676429414,1.100401638,1.046660514,1.17484213,-0.406147141,-0.295108419,0.446833221,1.754115126,1.256367457,-0.702738134,1.1501875,0.831012998,-0.004285058,1.137539481,0.617150958,0.896795,0.68790947,0.834521064,0.929936322,0.18090738,0.870419828,-1.131822757,-0.535515064,0.775856437,-0.583640855,-1.013846128,0.968414454,0.547933566,-0.800367515,-1.005757668,-0.098879434,0.40479416,-0.294442994,-1.177953284,1.849146664,-0.016093895,-0.192964519,-0.352007776,0.608062976
"687",-0.711261821,-0.765608963,-0.789922585,1.034759616,0.463812393,-0.648549353,0.188132438,0.28015714,-0.140673842,-0.591962142,0.019518536,0.239597057,-1.071443357,-0.755223947,-0.540844416,-0.702738134,-1.024238431,0.169790097,-0.500468685,-0.460692573,0.449524056,1.012636406,0.576079113,0.350165356,0.159462765,0.300748287,1.247021531,-0.675865214,-0.776579762,0.807516985,1.227547373,-0.365713935,-1.623568182,-0.930453225,1.636262821,0.405465691,0.818876817,-0.152744178,-0.830110952,-1.399202063,1.095576272,0.60246478,1.105445922,-0.91158682,0.893275137
"688",-0.436950097,0.010470566,-0.004984661,-0.765700956,-1.36202555,0.311730043,1.37588184,0.474791428,1.147471921,-0.447086104,0.406455885,0.539743454,-0.041850384,-0.471308189,-0.540844416,1.74447806,-1.024238431,0.579636108,-0.408603195,-0.460692573,-0.493377268,0.29828107,0.553713041,-0.889785257,-0.7137406,1.113003321,0.514740442,-0.132596652,-0.32888818,-0.870492064,0.011644787,-0.425726175,1.058994492,1.2406043,-1.491527081,-0.149509787,0.33634518,-0.754885583,0.377991252,-0.362098411,-0.309730675,0.728988146,0.637166747,-0.779921163,0.322850815
"689",-0.985573545,-0.251790792,-0.238087439,-0.173960237,0.965701496,-0.120395685,-0.511319988,-0.248135926,-0.196680179,0.089839241,0.186833491,0.449771914,0.910374337,1.726516627,-0.540844416,0.928739329,-0.299429788,-0.476036855,-0.156322877,1.137539481,0.742871134,0.607191485,0.385967506,1.745109795,0.441969736,-0.604716342,0.546123917,-0.646761541,-0.337497634,0.601723422,0.872909119,0.198401122,-0.446027684,-2.243426108,2.221991267,0.61159944,0.099810064,-0.899845551,0.799687304,-0.749283775,0.718791076,0.068255015,0.701022998,0.075905611,0.322850815
"690",-0.985573545,-0.974347595,-0.975453367,-0.04001699,0.671490642,0.455771952,0.742415492,0.954425922,0.688219954,-0.401469167,-0.629532178,-0.57571644,1.936051912,-0.755223947,-0.540844416,-0.702738134,-1.024238431,0.341256284,-0.500468685,-0.460692573,2.272466615,-0.049243148,0.441882684,1.318876772,-0.277138918,0.580377069,-0.248924122,0.177842526,-0.776579762,2.145175142,0.568933472,0.486459874,-1.052217171,0.134398799,1.191109202,0.104193288,0.771569793,0.683563329,-1.627914294,-0.030225243,0.72897446,-0.002035743,-1.448804125,-0.582422676,0.551020544
"691",-1.25988527,-0.947586232,-0.956424569,-1.143454263,2.661740533,-1.296737945,-1.804647114,-1.853868797,-2.067291853,-1.804190212,-0.629532178,-0.57571644,-1.071443357,-0.755223947,-0.540844416,1.74447806,-1.024238431,-2.230736498,0.482092564,-0.460692573,-1.352465141,-2.665328229,-2.208496778,-1.19977291,-1.38148435,-1.416971377,-1.357806913,1.652428623,1.616848309,-1.796563096,-0.051683473,0.966557795,-2.571174738,-2.698314352,2.151703853,0.722594536,-0.713870736,-0.453814881,1.323958071,2.04398206,-1.23641859,-1.492199825,-1.448804125,1.985057646,-1.84476161
