last_name,first_name,name,team,player_id,year,PC1,PC2,PC3,PC4,PC5,cluster
Miller, Brad,Brad Miller,PHI,543543,2021,-1.490706785,-0.846510873,-0.355115009,-0.88355594,-0.023136317,2
Nola, Austin,Austin Nola,SD,543592,2021,-2.078670637,1.483208612,-0.904143016,2.445437543,-0.105274185,3
Rendon, Anthony,Anthony Rendon,LAA,543685,2021,-2.165955837,0.346470675,-1.426983645,2.180146745,-0.262669047,3
Semien, Marcus,Marcus Semien,TOR,543760,2021,-4.010064634,0.051016253,0.284656331,-0.446773072,-1.580892805,2
Shaw, Travis,Travis Shaw,MIL,543768,2021,-0.524950273,-0.692302,-1.140013995,1.121904534,0.219218687,4
Springer III, George,George Springer III,TOR,543807,2021,-3.020385106,-1.466257025,-0.067053805,0.064182928,-0.724504589,2
Vazquez, Christian,Christian Vazquez,BOS,543877,2021,-1.816218364,2.166832011,-0.240444904,0.506732174,-0.543586912,3
Wong, Kolten,Kolten Wong,MIL,543939,2021,-2.664950618,1.371545647,0.55419329,-0.029420222,-0.620302842,2
Gregorius, Didi,Didi Gregorius,PHI,544369,2021,-1.384230801,0.188140219,-0.024259985,1.971945881,-1.530176862,3
Garcia, Leury,Leury Garcia,CWS,544725,2021,-0.898631157,1.745890103,0.255440114,-1.179387024,0.156743804,2
Vargas, Ildemaro,Ildemaro Vargas,ARI,545121,2021,1.489676373,1.727233573,0.496259467,0.45392352,0.201591066,2
Bauer, Trevor,Trevor Bauer,LAD,545333,2021,6.251495678,2.045518547,-1.32482402,-0.129436866,0.011107613,6
Grichuk, Randal,Randal Grichuk,TOR,545341,2021,-2.248194258,0.287925862,-0.718866076,0.145060697,-1.858214697,2
Marisnick, Jake,Jake Marisnick,CHC,545350,2021,-0.405788743,-1.056378612,1.603629638,0.732508002,-0.056351717,2
Stassi, Max,Max Stassi,LAA,545358,2021,-1.550818252,-0.791288582,-1.08030534,-1.084985427,-0.048709541,2
Trout, Mike,Mike Trout,LAA,545361,2021,-3.565277838,-1.534147432,-0.005066098,-1.113707301,2.492356872,2
Herrera, Odubel,Odubel Herrera,PHI,546318,2021,-1.952239449,1.785838015,-0.274909379,-0.656557715,-0.493813643,3
Alford, Anthony,Anthony Alford,PIT,546990,2021,-0.971844225,-1.927033236,3.293286869,-1.176323557,1.35100187,2
Almora Jr., Albert,Albert Almora Jr.,NYM,546991,2021,2.0480787,-0.414500112,-0.042753626,1.113788915,-0.645903416,4
Poteet, Cody,Cody Poteet,MIA,547001,2021,6.317449196,1.317514091,-1.234591323,-1.983430012,0.033241622,6
Ruiz, Rio,Rio Ruiz,BAL,547004,2021,0.903821688,0.523213897,0.2104039,0.338152125,-0.234578833,2
Wolters, Tony,Tony Wolters,CHC,547172,2021,3.188839268,0.238089597,0.476421095,0.658098349,0.424448545,4
Harper, Bryce,Bryce Harper,PHI,547180,2021,-3.959083627,-1.401873054,-0.161221926,-2.539495389,0.162476621,2
Perez, Roberto,Roberto Perez,CLE,547379,2021,1.514884477,-1.039998837,-0.614722466,-1.263328136,0.859172172,4
Kim, Kwang Hyun,Kwang Hyun Kim,STL,547942,2021,4.766116814,2.171257579,0.122038411,0.050390452,-0.529202118,6
Abreu, Jose,Jose Abreu,CWS,547989,2021,-3.048302377,-0.078398858,-1.212491861,-1.595528516,-1.290846874,2
Diaz, Elias,Elias Diaz,COL,553869,2021,-1.754373755,0.029184287,-1.318048909,0.353596157,-0.91365374,3
Narvaez, Omar,Omar Narvaez,MIL,553882,2021,-2.182550579,0.404849502,-1.36888299,0.757859552,-0.130659952,3
Astudillo, Willians,Willians Astudillo,MIN,553902,2021,-1.344334993,2.166589838,-1.537623026,2.714892247,-0.651573991,3
Suarez, Eugenio,Eugenio Suarez,CIN,553993,2021,-1.998615482,-1.185310051,-1.099626013,-0.582896208,-2.13702015,2
Wheeler, Zack,Zack Wheeler,PHI,554430,2021,4.558940744,0.975200995,-1.162101048,-0.773504047,1.95396594,6
Polanco, Gregory,Gregory Polanco,PIT,570256,2021,-1.969225036,-1.101768322,1.564093248,-0.209163378,-1.005018151,2
Gonzalez, Erik,Erik Gonzalez,PIT,570481,2021,0.188462387,2.134943876,0.112423596,-1.089876491,-0.365090743,2
Urshela, Gio,Gio Urshela,NYY,570482,2021,-1.820835389,1.072004472,-1.415661167,-1.412255857,-0.016695098,3
Schoop, Jonathan,Jonathan Schoop,DET,570731,2021,-2.5172672,1.142347936,-1.088171586,-0.802914687,-1.63099785,3
Adams, Matt,Matt Adams,COL,571431,2021,1.255231492,0.467895208,-0.930470339,1.718315274,0.146473371,3
Arenado, Nolan,Nolan Arenado,STL,571448,2021,-3.285138189,0.725078987,-1.457249628,0.893464626,-1.523774492,3
Barnhart, Tucker,Tucker Barnhart,CIN,571466,2021,-1.548566823,0.277163716,-1.502928588,0.432860608,0.184440142,3
Corbin, Patrick,Patrick Corbin,WSH,571578,2021,5.81582553,1.957119096,-1.221423323,-1.822383929,-0.346357441,6
Farmer, Kyle,Kyle Farmer,CIN,571657,2021,-2.375182615,1.278116498,-0.498137286,0.682889499,-0.565454447,3
Goodwin, Brian,Brian Goodwin,CWS,571718,2021,-1.11949369,-0.282106528,-0.472621109,0.86581965,0.722283436,4
Hamilton, Billy,Billy Hamilton,CWS,571740,2021,0.222993755,0.456823732,5.575252825,0.888018282,1.025179881,2
Haniger, Mitch,Mitch Haniger,SEA,571745,2021,-2.924834551,-0.541048805,-1.15970774,-1.406831477,-1.498972328,2
Hernandez, Enrique,Enrique Hernandez,BOS,571771,2021,-3.319171592,-0.442254523,-0.970240933,0.174260306,-0.981034563,2
Holt, Brock,Brock Holt,TEX,571788,2021,-0.760909144,1.711358735,0.290607817,0.78075441,-0.241241872,3
Lamb, Jake,Jake Lamb,CWS,571875,2021,-1.36959841,-1.372585387,-1.086276717,0.999875514,-0.709672545,4
Maile, Luke,Luke Maile,MIL,571912,2021,0.135356537,0.51246972,-0.69353522,-0.416874921,2.812335437,4
Marrero, Deven,Deven Marrero,MIA,571918,2021,0.279409981,-1.51088578,3.119783667,3.259563457,-1.271329105,2
Mikolas, Miles,Miles Mikolas,STL,571945,2021,6.705287097,-1.747415642,-0.061138123,0.773666432,0.155278882,6
Muncy, Max,Max Muncy,LAD,571970,2021,-3.512409363,-0.651854709,-1.214254822,-1.288736426,-1.154057595,2
Myers, Wil,Wil Myers,SD,571976,2021,-1.894859323,0.043627225,0.296501259,-1.350460718,-1.041377258,2
Naquin, Tyler,Tyler Naquin,CIN,571980,2021,-2.502691191,0.773901417,-0.276697764,-0.894930984,-0.563679939,3
Owings, Chris,Chris Owings,COL,572008,2021,-1.39873093,-2.191155977,1.758969575,-1.728602552,1.617290274,4
Piscotty, Stephen,Stephen Piscotty,OAK,572039,2021,-0.336754246,-0.595500488,-0.445954402,1.455288999,0.198422552,4
Pollock, AJ,AJ Pollock,LAD,572041,2021,-3.106427479,0.152436001,0.194198081,-0.844437907,-0.268983723,2
Seager, Kyle,Kyle Seager,SEA,572122,2021,-2.540799166,-1.18538393,-1.201403485,-0.381660679,-1.934084028,2
Taylor, Michael A.,Michael A. Taylor,KC,572191,2021,-1.388579738,0.461015189,1.387294411,-1.631222575,-0.592037072,2
Thompson, Trayce,Trayce Thompson,CHC,572204,2021,-4.051623289,-3.5590264,1.682572643,-1.775105693,1.603434185,2
Voit III, Luke,Luke Voit III,NYY,572228,2021,-0.985740846,-2.86226116,-1.080488001,-1.137812049,1.135771163,4
Walker, Christian,Christian Walker,ARI,572233,2021,-2.169255891,-0.384721847,-0.970458748,-0.010860132,-0.391843595,3
Zunino, Mike,Mike Zunino,TB,572287,2021,-2.076582438,-3.673724346,-1.199782212,-0.174609205,-2.141878583,2
Carpenter, Matt,Matt Carpenter,STL,572761,2021,-1.853154714,-1.978485791,-0.70103203,0.094515815,0.810891472,4
Dickerson, Corey,Corey Dickerson,MIA,572816,2021,-1.758107552,1.195009485,0.3156101,-0.129572867,-0.447894352,3
Garneau, Dustin,Dustin Garneau,DET,572863,2021,-0.700918267,-2.44889333,-0.777146686,1.366983636,-0.75828003,4
Ruf, Darin,Darin Ruf,SF,573131,2021,-3.236098805,-0.824965331,-1.193641839,-1.476035353,0.672553533,2
Stroman, Marcus,Marcus Stroman,NYM,573186,2021,5.234078364,-0.03864983,1.284430737,-0.60984291,0.313490002,6
Yastrzemski, Mike,Mike Yastrzemski,SF,573262,2021,-2.405331126,-0.45128333,-0.497504623,0.080430819,-1.052275875,2
Contreras, Willson,Willson Contreras,CHC,575929,2021,-2.025066063,-1.154789656,-0.060052348,-1.990305917,-1.06359905,2
Iglesias, Jose,Jose Iglesias,LAA,578428,2021,-2.292668055,2.276524064,-0.127811566,0.203562123,-0.505579055,3
Torreyes, Ronald,Ronald Torreyes,PHI,591720,2021,-0.080073439,2.84706937,-0.250193028,1.459803556,0.277499977,3
Valera, Breyvic,Breyvic Valera,TOR,591971,2021,-0.891340465,3.001523089,-0.194343918,2.779783932,1.238630557,3
Bryant, Kris,Kris Bryant,CHC,592178,2021,-3.088368463,-0.368254723,0.026653906,-1.018134766,-0.777800461,2
Canha, Mark,Mark Canha,OAK,592192,2021,-3.05895393,0.560980744,0.292249302,-0.103564883,-1.280690843,2
Casali, Curt,Curt Casali,SF,592200,2021,-0.135252712,-1.260285065,-0.85418871,1.814214475,0.938887181,4
Castellanos, Nick,Nick Castellanos,CIN,592206,2021,-3.635990764,-0.790825732,-0.866081684,-1.844369444,0.284151473,2
DeShields, Delino,Delino DeShields,CIN,592261,2021,-0.65182274,0.254873353,1.704908017,-0.902157364,2.29945013,2
Drury, Brandon,Brandon Drury,NYM,592273,2021,-0.431200093,0.346833259,-0.737467757,0.874629029,0.383767291,3
Gamel, Ben,Ben Gamel,PIT,592325,2021,-2.087817792,-0.790161174,0.014850761,-0.232921611,0.427649233,3
Gausman, Kevin,Kevin Gausman,SF,592332,2021,5.41903252,1.133368107,-1.104435795,-1.506872476,0.91005932,6
Gonzalez, Chi Chi,Chi Chi Gonzalez,COL,592346,2021,5.035111095,0.680164531,-1.424944196,-2.574935734,1.117881372,6
Goodrum, Niko,Niko Goodrum,DET,592348,2021,-1.483000856,-1.133283651,2.691183766,-1.684040156,-0.034698524,2
Gray, Jon,Jon Gray,TEX,592351,2021,5.114122913,-1.174328969,-1.045028875,0.143017697,0.920578289,6
Holaday, Bryan,Bryan Holaday,ARI,592407,2021,1.492128091,-1.995147213,-0.178401155,1.876515041,1.032391211,4
Jones, JaCoby,JaCoby Jones,DET,592444,2021,0.728427295,-0.855719331,2.076370875,-0.75915268,1.045281111,2
