last_name,first_name,name,team,player_id,year,HR.,SLG,OBP,SB.,Sac.,SweetSpot.,HPto1B,SprintSpeed
Grandal, Yasmani,Yasmani Grandal,CWS,518735,2021,2.313191594,1.274182251,1.651528959,-0.57571644,-0.138886147,0.184672863,1.688809916,-1.84476161
Heyward, Jason,Jason Heyward,CHC,518792,2021,-0.10492504,0.071620404,0.094552776,0.289543677,-0.500468685,-0.374478922,-0.352007776,0.037638654
Kelly, Merrill,Merrill Kelly,ARI,518876,2021,-1.143454263,-1.749600429,-1.686448757,-0.57571644,2.226985805,-2.208496778,1.919224817,-1.787719177
Kozma, Pete,Pete Kozma,OAK,518902,2021,-1.143454263,-1.707893082,-1.171190452,-0.57571644,-0.500468685,-1.850639636,0.010072783,-0.002291049
LeMahieu, DJ,DJ LeMahieu,NYY,518934,2021,-0.441098857,0.175888772,0.867440234,-0.286998202,-0.334055519,0.274137149,0.207571269,-0.133488643
Lucroy, Jonathan,Jonathan Lucroy,WSH,518960,2021,-1.143454263,0.217596119,1.337893469,-0.57571644,0.482092564,0.743824648,0.898815971,-0.932082694
Moore, Matt,Matt Moore,PHI,519043,2021,-1.143454263,-2.340454516,-3.041802126,-0.57571644,0.629476748,-1.850639636,0.010072783,-0.002291049
Moreland, Mitch,Mitch Moreland,OAK,519048,2021,0.687577041,0.544303673,0.161760381,-0.57571644,-0.231434056,0.084025542,0.405069755,-1.331379719
Moustakas, Mike,Mike Moustakas,CIN,519058,2021,0.231320059,0.245401018,0.116955311,-0.57571644,-0.17135836,-0.17318428,0.66840107,-0.875040262
Rizzo, Anthony,Anthony Rizzo,CHC,519203,2021,0.716371509,0.718084287,0.811433896,-0.05777609,-0.304297593,0.06165947,0.306320512,-0.875040262
Romine, Austin,Austin Romine,CHC,519222,2021,-0.44461063,-0.25508715,-0.331095389,-0.57571644,-0.500468685,-0.799434279,0.66840107,-1.046167558
Sogard, Eric,Eric Sogard,CHC,519299,2021,-0.895344092,-0.157770006,0.128156578,0.431613475,-0.249369702,-0.352112851,-0.286174947,-0.646870533
Souza Jr., Steven,Steven Souza Jr.,LAD,519306,2021,0.127170486,-0.02569674,-0.555120739,-0.57571644,-0.500468685,0.665543398,-0.319091361,0.265808383
Stanton, Giancarlo,Giancarlo Stanton,NYY,519317,2021,1.734137109,1.246377353,0.923446571,-0.57571644,-0.383375898,0.195855899,1.293812944,-1.160252423
Vogt, Stephen,Stephen Vogt,ARI,519390,2021,0.254232961,-0.02569674,0.116955311,-0.57571644,-0.310561897,0.13994072,-0.220342118,-0.304615939
Galvis, Freddy,Freddy Galvis,BAL,520471,2021,0.505502603,0.488693877,0.307376858,-0.430524667,-0.213680512,0.45306572,-0.088676461,-0.532785668
Perez, Salvador,Salvador Perez,KC,521692,2021,2.10278707,1.441011641,0.497798406,-0.494320889,-0.364535391,0.363601434,0.536735413,-0.361658372
Flores, Wilmer,Wilmer Flores,SF,527038,2021,0.796779967,0.766742859,0.710622489,-0.458610724,-0.344971606,0.207038934,0.701317485,-1.274337287
LaMarre, Ryan,Ryan LaMarre,NYY,534606,2021,2.849937834,0.968328371,0.228967986,1.864988752,-0.500468685,-1.213206601,-1.142001721,1.178487299
Tovar, Wilfredo,Wilfredo Tovar,NYM,541600,2021,-1.143454263,-1.075331647,-0.241485249,-0.57571644,-0.500468685,-0.25146553,-0.483673433,0.43693568
Garcia, Avisail,Avisail Garcia,MIL,541645,2021,1.494263538,1.065645515,0.654616151,0.22943622,-0.281061802,0.564896077,-0.319091361,1.121444866
Perez, Hernan,Hernan Perez,WSH,541650,2021,-1.143454263,-1.972039615,-1.440020872,-0.57571644,-0.500468685,-0.967179815,0.240487683,-0.304615939
