"last_name","first_name","name","team","player_id","year","PC1","PC2","PC3","PC4","PC5","PC6"
"Pozo"," Yohel","Yohel Pozo","TEX",650968,2021,-0.832786456405382,2.01863203991905,1.33484346598308,-1.31460710434524,-1.19867603432536,-0.376917579420911
"Adams"," Riley","Riley Adams","WSH",656180,2021,-0.995450167321497,-0.127843237754752,-2.22518819169417,-1.73644895123052,1.76164572800794,-1.362492330662
"Allen"," Greg","Greg Allen","NYY",656185,2021,-3.07845624444794,-4.38825434082976,1.5477709343089,-3.45213022712498,3.33869253621565,-3.60889034240832
"Bradley"," Bobby","Bobby Bradley","CLE",656252,2021,-0.508267828412332,-0.463572575442411,-3.01191149162155,0.0123618134330476,-0.145555328740679,-0.905841875522116
"Chapman"," Matt","Matt Chapman","OAK",656305,2021,-1.72455108837305,-0.266586456324187,-1.8772339846303,2.1242861206069,0.30667061484718,0.121902499621382
"Chavis"," Michael","Michael Chavis","BOS",656308,2021,0.395185033649662,-1.37036855903483,-0.545441992870453,-0.895631149501377,-0.773038175271337,-0.226147869334426
"Deichmann"," Greg","Greg Deichmann","CHC",656364,2021,2.60380716249571,-0.11042293082627,-1.04475684011475,-2.15299813682452,-0.240861734419978,1.43127166351738
"Diaz"," Isan","Isan Diaz","MIA",656371,2021,0.294752271158421,0.467334986570108,-0.52850182598525,0.0972250041387229,-0.139999400278721,0.610582374337128
"Ellis"," Drew","Drew Ellis","ARI",656403,2021,1.28224986070672,-0.171216825575831,-0.990246914863712,-1.83505808707926,2.98454329304365,-0.261139354939804
"Fairchild"," Stuart","Stuart Fairchild","ARI",656413,2021,1.79371699116653,-0.112311975047832,-0.430717717153656,-2.23008962146906,2.5017981775431,-1.99892213976023
"Flaherty"," Jack","Jack Flaherty","STL",656427,2021,-0.110806544120902,0.901357434456527,-0.471326538258213,-2.07515315289819,0.203530892494774,2.56478626837002
"Gilbert"," Tyler","Tyler Gilbert","ARI",656457,2021,7.44000525971402,-0.439419267738536,0.0841925279160237,2.06764202449513,0.880812573516779,0.265633264114179
"Gittens"," Chris","Chris Gittens","NYY",656467,2021,1.97110692155515,0.425498404507276,-1.43709222333822,-0.381443043679089,1.20399407779901,2.14151927513271
"Harrison"," Monte","Monte Harrison","MIA",656509,2021,1.82611764161234,-3.02737530112667,3.63261107708737,0.142589225035384,-0.686570416707986,0.827940039662681
"Haseley"," Adam","Adam Haseley","PHI",656514,2021,1.3323029548673,1.08591585786278,1.27444007138777,-1.23475339549523,-1.53087074809452,-1.14263528027535
"Hill"," Derek","Derek Hill","DET",656537,2021,-1.46981288069014,-2.80291867416608,1.09875033016358,-1.18742888216239,-1.26850340359825,-0.0945200430383947
"Hilliard"," Sam","Sam Hilliard","COL",656541,2021,-0.445115009240918,-1.99849591342803,-2.1283278633396,0.434005531434939,-0.880091984482164,0.056453325821724
"Hoffman"," Jeff","Jeff Hoffman","CIN",656546,2021,2.67149561616777,2.38009026781896,2.89936371418982,-0.183732251026264,-2.01940875691074,-1.73026834077695
"Holloway"," Jordan","Jordan Holloway","MIA",656548,2021,4.22241587187316,-0.629630025205676,-1.62977115530773,-1.97646642395347,0.228852389357048,2.09067288290181
"Hoskins"," Rhys","Rhys Hoskins","PHI",656555,2021,-2.27874259541087,0.165246092718137,-1.68157276059825,0.953782676086168,0.544924546397386,0.418705059731711
"Jackson"," Alex","Alex Jackson","MIA",656577,2021,2.07328647152416,-1.31134125372909,-3.26143612774014,-1.1698889025682,1.44665891128091,-1.35122424288911
"Joe"," Connor","Connor Joe","COL",656582,2021,-2.26932903725994,0.75707924423537,-0.974416616760523,-1.49859559684531,-0.263825408547896,0.207685927597437
"Keller"," Mitch","Mitch Keller","PIT",656605,2021,3.49062360366327,1.01233190353014,0.663988747185545,-0.43765096902919,-0.0982019981181908,1.07544527625266
"Luplow"," Jordan","Jordan Luplow","CLE",656669,2021,-0.612557197737236,-0.376098812700743,-1.2879507302892,0.0290169676504233,0.636984156533159,0.719787260813561
"McKinstry"," Zach","Zach McKinstry","LAD",656716,2021,-0.511558993309306,0.0661022534124083,0.2155029608422,-0.609406803604324,-0.596736119604957,0.0447479650484189
"Megill"," Tylor","Tylor Megill","NYM",656731,2021,3.91253017170183,0.768183107989847,-1.19300442060149,0.154262835937944,-1.40759657372269,0.214532311103789
"Mullins II"," Cedric","Cedric Mullins II","BAL",656775,2021,-3.76844362693628,-1.4830732274534,0.908759509490623,1.33984139011904,0.110340226238402,0.369133938363624
"O'Hearn"," Ryan","Ryan O'Hearn","KC",656811,2021,-0.464261601868276,0.266545278369073,-0.582715524026433,-0.296078156816898,-0.192151931436538,-0.083978309800076
"Padlo"," Kevin","Kevin Padlo","TB",656821,2021,3.04840041404442,-1.09125961609865,-3.40380283566968,-2.1213444220803,-1.6192035261349,0.80163849710688
"Peters"," DJ","DJ Peters","TEX",656847,2021,0.15593958938962,-0.974530992368194,-1.18152144417115,0.554810591791798,-0.418688165570109,-0.605072275413667
"Peterson"," David","David Peterson","NYM",656849,2021,5.17142918421319,-0.106600019046156,1.04183037969283,1.03367196680942,2.35045443147389,-2.92605274196248
"Rivera"," Emmanuel","Emmanuel Rivera","KC",656896,2021,-0.958624078349632,-0.0610687815188445,1.12305827144141,-1.77627632359171,-1.64850618487174,-0.000761227908796706
"Schwarber"," Kyle","Kyle Schwarber","WSH",656941,2021,-2.80172534192952,0.319060469807881,-2.22820258080919,0.758212569356209,0.19741386484898,0.215422976102311
